GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ConstructionApp,com.ensaa.constructionapp,ConstructionAppApplication,8,0,0,0,3,0,2,0,2,0
ConstructionApp,com.ensaa.constructionapp.model.Admin,AuthenticationResponse.AuthenticationResponseBuilder,27,0,0,0,1,0,5,0,5,0
ConstructionApp,com.ensaa.constructionapp.model.Admin,RegisterUser,171,0,30,0,7,0,28,0,13,0
ConstructionApp,com.ensaa.constructionapp.model.Admin,LoginInfo,125,0,22,0,4,0,21,0,10,0
ConstructionApp,com.ensaa.constructionapp.model.Admin,AppUser,210,0,32,0,14,0,37,0,21,0
ConstructionApp,com.ensaa.constructionapp.model.Admin,LoginInfo.LoginInfoBuilder,27,0,0,0,1,0,5,0,5,0
ConstructionApp,com.ensaa.constructionapp.model.Admin,AuthenticationResponse,125,0,22,0,5,0,21,0,10,0
ConstructionApp,com.ensaa.constructionapp.model.Admin,Permission,70,0,0,0,10,0,3,0,3,0
ConstructionApp,com.ensaa.constructionapp.model.Admin,Role,43,0,0,0,7,0,3,0,3,0
ConstructionApp,com.ensaa.constructionapp.model.Admin,RegisterUser.RegisterUserBuilder,36,0,0,0,1,0,6,0,6,0
ConstructionApp,com.ensaa.constructionapp.model.Admin,AppUser.AppUserBuilder,45,0,0,0,1,0,7,0,7,0
ConstructionApp,com.ensaa.constructionapp.mapper,MonthMapperImpl,3,0,0,0,1,0,1,0,1,0
ConstructionApp,com.ensaa.constructionapp.mapper,ConstructionSiteMapper,101,0,10,0,24,0,10,0,5,0
ConstructionApp,com.ensaa.constructionapp.mapper,EmployeeMapperImpl,3,0,0,0,1,0,1,0,1,0
ConstructionApp,com.ensaa.constructionapp.mapper,MonthMapper,90,0,4,0,24,0,8,0,6,0
ConstructionApp,com.ensaa.constructionapp.mapper,ConstructionSiteMapperImpl,3,0,0,0,1,0,1,0,1,0
ConstructionApp,com.ensaa.constructionapp.mapper,EmployeeMapper,112,0,4,0,30,0,6,0,4,0
ConstructionApp,com.ensaa.constructionapp.service,ConstructionSiteService,187,0,8,0,29,0,17,0,13,0
ConstructionApp,com.ensaa.constructionapp.service,ConstructionSiteService.new EntityExistsException() {...},7,0,0,0,1,0,1,0,1,0
ConstructionApp,com.ensaa.constructionapp.service,ConstructionSiteService.new EntityNotFoundException() {...},7,0,0,0,1,0,1,0,1,0
ConstructionApp,com.ensaa.constructionapp.service,EmployeeService,322,0,8,0,54,0,23,0,19,0
ConstructionApp,com.ensaa.constructionapp.service,MonthService.new EntityNotFoundException() {...},7,0,0,0,1,0,1,0,1,0
ConstructionApp,com.ensaa.constructionapp.service,MonthService.new EntityExistsException() {...},7,0,0,0,1,0,1,0,1,0
ConstructionApp,com.ensaa.constructionapp.service,MonthService.new EntityNotFoundException() {...},7,0,0,0,1,0,1,0,1,0
ConstructionApp,com.ensaa.constructionapp.service,MonthService.new EntityNotFoundException() {...},7,0,0,0,1,0,1,0,1,0
ConstructionApp,com.ensaa.constructionapp.service,ConstructionSiteNameService,126,0,6,0,22,0,14,0,11,0
ConstructionApp,com.ensaa.constructionapp.service,MonthService.new EntityNotFoundException() {...},7,0,0,0,1,0,1,0,1,0
ConstructionApp,com.ensaa.constructionapp.service,MonthService.new EntityExistsException() {...},7,0,0,0,1,0,1,0,1,0
